,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
134,134,Gabon,"25,405",,164 ,,"25,191",,50,6,"11,130",72
135,135,Guyana,"22,523",,541 ,,"21,183",,799,14,"28,486",684
136,136,French Polynesia,"20,480",,153 ,,"19,285",,"1,042",5,"72,452",541
137,137,Haiti,"20,307",,560 ,,"14,724",,"5,023",,"1,758",48
138,138,Guadeloupe,"19,503",,242 ,,"2,250",,"17,011",23,"48,733",605
139,139,Mayotte,"19,494",,174 ,,"2,964",,"16,356",,"69,639",622
140,140,Martinique,"19,149",,111 ,,104,,"18,934",1,"51,071",296
141,141,Seychelles,"18,384",,94 ,,"17,874",,416,,"185,682",949
142,142,Papua New Guinea,"17,774",,192 ,,"17,384",,198,7,"1,947",21
143,143,Togo,"15,924",,154 ,,"14,524",,"1,246",,"1,876",18
144,144,Taiwan,"15,721",+19,791 ,+2,"14,183",+45,747,,659,33
145,145,Somalia,"15,497",,819 ,,"7,593",,"7,085",,947,50
146,146,Tajikistan,"15,219",,121 ,,"14,705",,393,,"1,558",12
147,147,Bahamas,"15,011",+91,291 ,+4,"12,619",+2,"2,101",14,"37,781",732
148,148,Andorra,"14,766",+19,128 ,,"14,348",+52,290,,"190,778","1,654"
149,149,Mali,"14,589",,534 ,,"13,958",,97,,699,26
150,150,Belize,"14,163",,337  ,,"13,420",,406,2,"34,932",831
151,151,Curaçao,"13,692",,127 ,,"12,961",,604,4,"83,072",771
152,152,Lesotho,"13,603",,377 ,,"6,664",,"6,562",,"6,296",174
153,153,Burkina Faso,"13,591",,169 ,,"13,385",,37,,631,8
154,154,Congo,"13,216",,178 ,,"12,421",,617,,"2,333",31
155,155,Hong Kong,"11,995",+4,212 ,,"11,719",+4,64,,"1,586",28
156,156,Aruba,"11,807",,111 ,,"11,207",,489,14,"110,080","1,035"
157,157,Djibouti,"11,655",+2,156 ,,"11,491",,8,,"11,614",155
158,158,Timor-Leste,"11,100",+118,26 ,,"9,990",+49,"1,084",,"8,249",19
159,159,South Sudan,"11,063",,119 ,,"10,514",,430,,976,10
160,160,Nicaragua,"9,470",,195 ,,"4,225",,"5,050",,"1,411",29
161,161,Channel Islands,"9,395",,88 ,,"8,067",,"1,240",,"53,502",501
162,162,Equatorial Guinea,"8,911",,123 ,,"8,696",,92,1,"6,134",85
163,163,Benin,"8,394",,108 ,,"8,136",,150,5,673,9
164,164,Iceland,"8,233",+111,30 ,,"6,899",+51,"1,304",16,"23,958",87
165,165,Gambia,"7,709",,212 ,,"6,600",,897,3,"3,096",85
166,166,Burundi,"7,505",,38 ,,773,,"6,694",,612,3
167,167,CAR,"7,151",,98 ,,"6,859",,194,2,"1,453",20
168,168,Yemen,"7,086",+5,"1,380 ",+2,"4,232",+20,"1,474",23,232,45
169,169,Laos,"7,015",+250,7 ,,"3,392",+212,"3,616",,949,0.9
170,170,Eritrea,"6,564",+5,35 ,,"6,472",+16,57,,"1,824",10
171,171,Sierra Leone,"6,292",+4,120 ,,"4,281",+4,"1,891",,772,15
172,172,Saint Lucia,"5,646",+14,89 ,,"5,388",+9,169,2,"30,595",482
173,173,Niger,"5,637",,195 ,,"5,345",,97,2,224,8
174,174,Liberia,"5,459",,148 ,,"2,715",,"2,596",2,"1,053",29
175,175,San Marino,"5,147",,90 ,,"5,009",,48,,"151,347","2,646"
176,176,Gibraltar,"5,031",+29,94 ,,"4,644",+9,293,13,"149,376","2,791"
177,177,Chad,"4,973",,174 ,,"4,793",,6,,294,10
178,178,Isle of Man,"4,912",,30 ,,"3,750",,"1,132",1,"57,436",351
179,179,Guinea-Bissau,"4,498",,76 ,,"3,968",,454,4,"2,229",38
180,180,Barbados,"4,417",,48 ,,"4,251",,118,,"15,350",167
181,181,Mauritius,"4,393",,20 ,,"1,854",,"2,519",,"3,448",16
182,182,Comoros,"4,028",,147 ,,"3,869",,12,,"4,528",165
183,183,Liechtenstein,"3,089",+2,59 ,,"3,011",+1,19,1,"80,765","1,543"
184,184,Monaco,"2,897",,33 ,,"2,729",,135,3,"73,260",835
185,185,New Zealand,"2,877",,26 ,,"2,814",,37,,575,5
186,186,Sint Maarten,"2,770",,34 ,,"2,655",,81,2,"63,819",783
187,187,Saint Martin,"2,579",,38 ,,"1,399",,"1,142",7,"65,490",965
188,188,Bermuda,"2,568",,33 ,,"2,499",,36,,"41,401",532
189,189,Bhutan,"2,532",+8,2 ,,"2,400",+1,130,,"3,243",3
190,190,British Virgin Islands,"2,500",,31 ,,"1,914",,555,27,"82,105","1,018"
191,191,Turks and Caicos,"2,486",,18 ,,"2,433",,35,,"63,281",458
192,192,Sao Tome and Principe,"2,454",,37 ,,"2,358",,59,,"10,977",166
193,193,St. Vincent Grenadines,"2,297",,12 ,,"2,230",,55,2,"20,634",108
194,194,Caribbean Netherlands,"1,710",,17 ,,"1,673",,20,,"64,560",642
195,195,Antigua and Barbuda,"1,303",,43 ,,"1,235",,25,3,"13,187",435
196,196,St. Barth,"1,195",,1 ,,462,,732,,"120,585",101
197,197,Tanzania,"1,017",,21 ,,183,,813,7,17,0.3
198,198,Faeroe Islands,987,+2,2 ,,957,+2,28,,"20,116",41
199,200,Cayman Islands,644,,2 ,,635,,7,,"9,676",30
200,201,Saint Kitts and Nevis,594,,3 ,,546,,45,1,"11,081",56
201,203,Brunei ,338,,3 ,,280,,55,,765,7
202,204,Dominica,218,, ,,209,,9,,"3,020",
203,205,Grenada,164,,1 ,,161,,2,,"1,450",9
204,206,New Caledonia,134,, ,,58,,76,,465,
205,207,Greenland,130,+8, ,,84,+6,46,,"2,286",
206,208,Anguilla,113,, ,,111,,2,,"7,460",
207,210,Macao,59,, ,,54,,5,,90,
208,211,Saint Pierre Miquelon,28,, ,,26,,2,,"4,859",
209,213,Montserrat,21,,1 ,,19,,1,,"4,204",200
210,215,Western Sahara,10,,1 ,,8,,1,,16,2
211,222,China,"93,193",+90,"4,636 ",,"87,400",+24,"1,157",24,65,3
212,Total:,"199,901,530","+333,488","4,254,156","+5,789","180,307,527","+275,224","15,339,847","91,799","25,645.5",545.8,
